tradedate;tradetime;period_0.25
03.01.2018;18:39:57;6,16
04.01.2018;18:39:58;5,79
05.01.2018;18:39:56;6,41
09.01.2018;18:39:58;6,37
10.01.2018;18:39:59;6,39
11.01.2018;18:39:59;6,39
12.01.2018;18:39:59;6,54
15.01.2018;18:39:59;6,64
16.01.2018;18:39:59;6,62
17.01.2018;18:39:58;6,68
18.01.2018;18:39:51;6,61
19.01.2018;18:39:57;6,64
22.01.2018;18:39:59;6,64
23.01.2018;18:39:44;6,64
24.01.2018;18:39:59;6,64
25.01.2018;18:39:55;6,64
26.01.2018;18:39:53;6,66
29.01.2018;18:39:59;6,73
30.01.2018;18:39:55;6,68
31.01.2018;18:39:59;6,7
01.02.2018;18:39:51;6,67
02.02.2018;18:39:57;6,64
05.02.2018;18:39:43;6,66
06.02.2018;18:39:57;6,66
07.02.2018;18:39:54;6,64
08.02.2018;18:39:42;6,62
09.02.2018;18:39:58;6,59
12.02.2018;18:39:50;6,53
13.02.2018;18:39:55;6,44
14.02.2018;18:39:59;6,28
15.02.2018;18:39:55;6,28
16.02.2018;18:39:50;6,27
19.02.2018;18:39:57;6,32
20.02.2018;18:39:56;6,28
21.02.2018;18:39:49;6,23
22.02.2018;18:39:54;6,23
26.02.2018;18:39:52;6,14
27.02.2018;18:39:56;6,23
28.02.2018;18:39:59;6,14
01.03.2018;18:39:59;6,2
02.03.2018;18:39:58;6,17
05.03.2018;18:39:51;6,14
06.03.2018;18:39:31;6,16
07.03.2018;18:39:57;6,08
09.03.2018;18:39:56;5,99
12.03.2018;18:39:54;6,07
13.03.2018;18:39:58;6,02
14.03.2018;18:39:55;6,04
15.03.2018;18:39:46;6,06
16.03.2018;18:39:58;6,07
19.03.2018;18:39:57;6,03
20.03.2018;18:39:49;5,99
21.03.2018;18:39:55;5,97
22.03.2018;18:39:59;5,97
23.03.2018;18:39:58;6,02
26.03.2018;18:39:59;6,06
27.03.2018;18:39:49;6,12
28.03.2018;18:39:59;6,1
29.03.2018;18:39:58;6,01
30.03.2018;18:39:59;5,99
02.04.2018;18:39:59;6,0
03.04.2018;18:39:37;6,03
04.04.2018;18:39:56;6,07
05.04.2018;18:39:36;6,15
06.04.2018;18:39:58;6,15
09.04.2018;18:39:57;6,62
10.04.2018;18:39:52;6,94
11.04.2018;18:39:58;6,73
12.04.2018;18:39:52;6,62
13.04.2018;18:39:50;6,79
16.04.2018;18:39:58;6,69
17.04.2018;18:39:57;6,55
18.04.2018;18:39:52;6,59
19.04.2018;18:39:36;6,55
20.04.2018;18:39:59;6,53
23.04.2018;18:39:57;6,48
24.04.2018;18:39:39;6,41
25.04.2018;18:39:48;6,42
26.04.2018;18:39:57;6,4
27.04.2018;18:39:57;6,35
28.04.2018;18:39:30;6,27
30.04.2018;18:39:47;6,22
02.05.2018;18:39:56;6,34
03.05.2018;18:39:47;6,44
04.05.2018;18:39:59;6,35
07.05.2018;18:39:52;6,28
08.05.2018;18:39:59;6,33
10.05.2018;18:39:42;6,31
11.05.2018;18:39:29;6,31
14.05.2018;18:39:53;6,37
15.05.2018;18:39:57;6,56
16.05.2018;18:39:59;6,5
17.05.2018;18:39:52;6,5
18.05.2018;18:39:53;6,46
